EmployeeID,Department,JobRole,Location,Gender,Ethnicity,Level,AgeGroup,PerformanceTier,PayBand,TenureYears,HiringSource,EngagementScore,eNPS,TrainingHours,AbsenteeismDays,Salary,MarketSalary,NewHire,LeftWithin90Days,HighPerformer,PromotionLastYear,ExitReason,Rehired
E0001,Sales,Software Engineer,Dubai,Male,Black,Mid,<25,High,Band 5,1.4,Recruiter,1.13,-77,27,7,96237,108907,0,0,1,0,Manager Issue,1
E0002,Engineering,Marketing Specialist,Mumbai,Female,White,Mid,25-34,Medium,Band 1,1.5,LinkedIn,2.44,-12,77,8,135791,35695,1,0,1,0,Relocation,1
E0003,Customer Support,HRBP,New York,Male,Black,Senior,<25,Low,Band 1,5.8,Recruiter,3.54,-7,20,11,76566,57460,1,0,0,0,Career Growth,1
E0004,IT,Accountant,Singapore,Male,White,Entry,25-34,Low,Band 3,6.1,LinkedIn,1.84,45,91,10,57869,115909,1,1,1,0,Work-Life Balance,0
E0005,HR,Accountant,Singapore,Female,Other,Lead,35-44,Low,Band 2,7.7,LinkedIn,4.02,-72,19,5,133819,119192,1,0,1,1,Relocation,1
E0006,Finance,Software Engineer,New York,Non-Binary,Other,Senior,35-44,Low,Band 3,6.6,Recruiter,1.01,84,92,8,95612,129871,0,0,1,0,Career Growth,1
E0007,Marketing,Software Engineer,Singapore,Female,Hispanic,Entry,<25,Medium,Band 3,3.7,Referral,4.51,-80,10,15,136957,39071,0,0,1,0,Work-Life Balance,1
E0008,HR,HRBP,Dubai,Female,White,Lead,55+,Medium,Band 1,3.8,LinkedIn,2.35,50,70,7,107128,58864,0,0,0,0,Better Pay,0
E0009,Customer Support,Sales Executive,Singapore,Male,White,Lead,25-34,High,Band 2,10.9,Internal,3.3,-38,100,15,135840,83354,0,0,0,1,Work-Life Balance,1
E0010,IT,Operations Analyst,New York,Non-Binary,Asian,Entry,45-54,High,Band 3,12.0,LinkedIn,1.99,-52,68,14,48373,85296,0,1,1,0,None,0
E0011,Operations,Sales Executive,New York,Non-Binary,Other,Entry,<25,Low,Band 2,6.2,Recruiter,1.85,2,7,5,79672,30282,1,1,1,1,Manager Issue,1
E0012,Marketing,HRBP,Dubai,Male,Asian,Entry,35-44,Low,Band 1,8.8,Internal,4.68,35,20,1,96562,40500,0,0,0,0,Manager Issue,0
E0013,HR,Software Engineer,Singapore,Male,Hispanic,Senior,35-44,Low,Band 3,3.7,Recruiter,1.52,65,38,14,71441,128548,0,0,1,0,Better Pay,0
E0014,Finance,Marketing Specialist,Dubai,Male,Black,Senior,35-44,Low,Band 4,12.5,Job Board,3.45,67,67,0,117538,137099,1,0,0,1,Better Pay,0
E0015,Marketing,Accountant,Dubai,Non-Binary,Black,Senior,25-34,High,Band 3,7.6,Job Board,4.62,-87,11,13,138704,66265,0,0,1,0,Culture,1
E0016,Marketing,Operations Analyst,Singapore,Non-Binary,Hispanic,Entry,<25,Low,Band 2,8.2,Job Board,3.33,-63,55,4,35482,70404,1,0,1,0,Culture,0
E0017,Sales,Support Agent,Singapore,Female,Other,Mid,25-34,Low,Band 2,13.2,LinkedIn,1.72,-15,100,13,135150,117806,0,1,0,0,Manager Issue,0
E0018,Operations,HRBP,London,Female,White,Senior,25-34,Low,Band 1,9.9,Recruiter,2.31,-83,98,8,76025,114080,1,1,0,0,Work-Life Balance,0
E0019,Finance,Software Engineer,New York,Non-Binary,Hispanic,Senior,35-44,Medium,Band 5,14.8,LinkedIn,2.54,47,24,8,35817,122901,1,0,0,1,Manager Issue,0
E0020,Customer Support,Support Agent,New York,Non-Binary,White,Senior,45-54,Medium,Band 4,10.5,Internal,1.51,7,85,12,118777,128059,0,1,1,0,Work-Life Balance,1
E0021,HR,SysAdmin,Singapore,Non-Binary,White,Lead,45-54,Medium,Band 2,7.7,Referral,3.64,-28,65,10,42240,137272,0,1,0,0,Career Growth,0
E0022,Engineering,HRBP,Mumbai,Non-Binary,Asian,Lead,45-54,High,Band 5,3.0,Recruiter,2.98,-38,18,0,147002,128430,0,1,0,0,None,1
E0023,Engineering,HRBP,New York,Female,Black,Lead,55+,High,Band 5,4.8,Recruiter,3.45,84,64,13,138864,148863,1,0,1,1,Work-Life Balance,0
